event,lat,lon,state,event_time,start_time,accum_time,period_start,period_end,exceedance,accumulation,exceed_pts,exceed_vol,exceed_length,max_1hr,max_pflength,pflength_duration,ari_10,ari_25,ari_50,ari_100,ari_500,ari_1000,tc_flag,iso_flag,mcs_flag,noct_flag,qc_flag
38,29.238690016223654,-81.7302578553863,FL,2002041121,2002041121,2002041123,2002041110,2002041209,16.681734678163735,150.38000106811523,2,23.90973956097625,0.0,87.75,81.35498649,0,133.6982663899515,163.92426638995147,190.3402663899515,219.5502663899515,298.7646142429646,337.4062663899515,0,1,0,0,1
39,31.308398537026456,-84.47401376801696,GA,2002041122,2002041119,2002041203,2002041111,2002041208,5.642310297683679,133.87999999523163,3,14.765272970701917,3.885969687991484,67.87999725341797,209.9690821,1,128.23768969754795,154.43175122323862,176.02175122323862,198.8494409207865,256.75936821447993,283.6528818415731,0,0,0,0,1
40,44.0680275786913,-88.29832845607302,WI,2002041210,2002041209,2002041211,2002041123,2002041218,0.2604574981131264,79.5,1,0.2604574981131264,0.0,76.25,226.3406544,1,79.23954250188687,96.73226476729208,111.4212500587981,127.20380726917892,168.40327947578606,188.09725179998927,0,0,0,1,0
41,39.87580426481655,-84.9054015630582,IN,2002041218,2002041217,2002041302,2002041214,2002041305,5.052001068115231,89.38000106811523,2,5.108001182556137,5.937322795828015,22.3799991607666,1046.642208,4,84.328,98.044,108.712,119.37999999999998,144.526,155.448,0,0,1,0,1
42,32.278115927322524,-85.0646808952635,AL,2002041223,2002041217,2002041304,2002041214,2002041310,7.379068912338468,134.03000247478485,2,7.399445149175634,3.922654835124943,59.130001068115234,361.6402294,5,126.65093356244638,153.32093356244638,175.09268878921586,197.9298671248928,255.53095430395885,282.1287095307283,0,0,1,0,1
43,38.21138194465094,-87.12056201755746,IN,2002041223,2002041221,2002041307,2002041216,2002041310,17.825998435974128,117.13999843597412,9,72.89098394646165,9.24342360690123,26.6299991607666,1010.663146,6,99.314,118.99023206079124,135.12799999999996,152.01023206079122,195.95223206079123,216.8984641215825,0,0,1,1,1
44,35.67259014336829,-103.30468851331348,NM,2002041306,2002041304,2002041308,2002041219,2002041317,17.617459704451775,96.50999927520752,29,213.2354992005532,4.051469985822104,39.75,386.5489604,4,78.89253957075574,96.16453957075576,110.09338485757904,124.82538485757902,162.06192442833478,179.46752739018868,0,0,1,1,1
45,43.6522443751399,-94.3779227462196,MN,2002041400,2002041322,2002041401,2002041313,2002041410,0.6599991559982215,102.25999915599824,1,0.6599991559982215,0.0,76.25,379.9785369,1,101.6,128.6893581420383,152.37605576111906,178.53805576111907,249.7787468018024,284.7421049438407,0,0,0,0,0
46,31.713022035895232,-103.4810921633412,TX,2002041400,2002041400,2002041402,2002041314,2002041413,13.494987744553328,90.5999984741211,5,28.887212503372155,7.809752852563643,65.12999725341797,273.2688443,1,77.10501072956777,96.40901072956778,111.79863618255057,127.90501072956778,170.8310107295678,191.0700066338601,0,0,0,0,1
47,31.10458254065308,-99.7507536817198,TX,2002041403,2002041321,2002041407,2002041319,2002041409,1.4460000000000122,116.0,1,1.4460000000000122,0.0,42.25,439.7876716,2,114.554,141.73200000000003,163.80727558199823,187.706,252.857276795482,284.469781403311,0,0,0,1,1
