event,lat,lon,event_time,start_time,end_time,exceedance,accumulation,exceed_pts,exceed_vol,exceed_length,max_1hr,max_pflength,pflength_duration,ari_10,ari_25,ari_50,ari_100,ari_500,ari_1000,tc_flag,iso_flag,mcs_flag,noct_flag
43,45.98847691372411,-68.70738710729319,2002041409,2002041403,2002041413,0.2273706362690291,86.52000045776367,1.0,0.2273706362690291,0.0,37.0,827.6689958388089,7,86.29262982149464,102.8026274510049,115.47303236670533,128.08736742355677,162.88536642785274,177.87136468429804,0,0,1,1
44,26.39919468162388,-81.50071449209696,2002041419,2002041418,2002041422,31.136232419163377,178.5,3.0,53.00600181300999,5.220831960344553,132.8800048828125,492.9425931210726,2,147.36376758083662,179.87783101281929,206.8018168617041,234.7855946949277,306.6921179121034,340.19765312202765,0,0,0,0
45,35.26620685524053,-76.56998587857447,2002041519,2002041518,2002041523,118.59423339358348,253.75,16.0,632.5192656430197,9.024834581526251,189.1300048828125,146.1068788525985,0,135.1557666064165,166.80523998022596,196.12416472665484,227.6201665937189,312.8746122505839,359.6190151884048,0,1,0,0
46,35.25405411540046,-76.7292232104569,2002041720,2002041719,2002041807,34.70011627838136,168.88000011444092,5.0,43.30147755610264,5.684233728450937,150.25,29.10417205250773,0,134.17988383605956,165.5488509664081,194.69645503318625,226.00416703969884,311.0328471695116,357.64512475791656,0,1,0,1
47,32.77140441383281,-82.4103031341233,2002041721,2002041719,2002041800,69.93350778016551,182.6000061035156,9.0,266.6053436808261,5.555206797697612,92.75,67.89294550242093,0,112.66649832335013,137.30450210069074,158.72432647752754,182.20294520748416,245.7029385619855,276.5475597096628,0,1,0,0
48,26.62638215478176,-81.99760100240019,2002041721,2002041721,2002041723,43.61458432353473,201.3800048828125,2.0,50.527332220244574,5.234289987709633,132.8800048828125,143.52333676398044,0,157.76542055927777,193.53723908175456,222.2392476564008,252.1690582145829,327.49126578912586,361.7812743340477,0,1,0,0
49,34.59833190187222,-79.84366209594151,2002041719,2002041719,2002041723,1.6880111694335938,116.75,1.0,1.6880111694335938,0.0,52.130001068115234,44.85521960602584,0,115.0619888305664,139.19200134277344,159.49995893853082,181.0030323403573,237.4296831329708,264.9123706968672,0,1,0,0
50,36.836886341380456,-81.94703436598218,2002041722,2002041722,2002041804,20.98357776620689,95.25999927520752,4.0,32.97210948028281,12.944528531781843,49.0,117.30313367050478,0,74.27642150900063,87.73842712423502,98.984030139308,110.86991849322844,141.2043401492359,155.64519473263366,0,1,0,1
51,43.91617393375027,-89.31708981689388,2002041810,2002041808,2002041820,24.798002243041992,110.64999961853027,15.0,160.77599917348513,27.763039469758272,38.630001068115234,715.2640705660281,5,85.85199737548828,107.7084583632208,127.01246609819052,148.36254531244478,207.29128175235377,236.2480150100861,0,0,1,1
52,45.668626245208095,-88.72474233485548,2002041823,2002041823,2002041911,6.5760021209716655,81.76000022888184,2.0,6.941461431528907,4.37957337457458,63.130001068115234,971.9805662746792,5,75.18399810791017,92.1956770352408,106.67367405121244,122.42167496004552,164.329723275318,184.3957175380133,0,0,1,1
53,37.94421212220362,-92.54076016621671,2002041922,2002041921,2002042009,44.62400710582732,148.51000106334686,24.0,409.8564944939072,38.1028229587295,55.630001068115234,562.8047731731791,5,103.88599395751956,125.45655153317968,143.99855839537025,164.08399963378903,218.53718406249848,244.8840118552847,0,0,1,1
54,39.86614058972753,-88.11986548818567,2002042000,2002041923,2002042005,24.022002220153794,118.51000118255617,8.0,101.74657104330764,9.393022218190278,69.25,430.6112779141744,3,94.48799896240236,113.26813533820106,129.0319976806641,146.7961356925445,195.5739300798994,220.96413400729512,0,0,0,1
55,35.43080376570675,-76.66300186992618,2002041923,2002041922,2002042005,5.719948707930541,133.76999843120575,1.0,5.719948707930541,0.0,44.25,374.6718248258469,6,128.0500497232752,157.8109923704534,186.2589904173284,216.2310011725215,296.82597348442675,342.0380003659068,0,0,1,1
56,39.02702428646001,-83.91558908375964,2002042122,2002042116,2002042204,12.430000305175769,102.5999984741211,3.0,18.070005416870103,0.0,36.880001068115234,1012.6396744236988,9,90.16999816894533,107.18799591064456,121.18314013838256,135.91514088622998,174.01513324140996,192.3112267440573,0,0,1,0
57,36.52771052867207,-88.12406318154535,2002042413,2002042407,2002042419,17.996004939079285,130.0099972486496,2.0,18.01200270652771,0.0,29.0,589.0853932236743,10,112.01399230957033,133.06696689217753,150.36799621582034,168.62696445077128,215.8709677466697,238.73095309823225,0,0,1,0
58,45.49429310539768,-87.33062152159476,2002042414,2002042412,2002042500,28.55400264263152,99.41999995708466,38.0,329.7864085954468,53.43920099439936,25.8799991607666,1060.881829220423,12,70.86599731445314,86.10599517822266,99.03370439479522,112.77600097656251,149.0979919433594,166.3437027431395,0,0,1,0
59,32.69856095749602,-99.4064672808841,2002042518,2002042515,2002042603,85.46799743175505,199.2599972486496,24.0,959.2060099652718,31.745633186359512,64.37999725341797,897.3240443117152,7,113.79199981689456,141.47799682617188,164.38175670784736,189.78175323314773,260.6477579199419,295.9099731445313,0,0,1,0
60,42.41387427321041,-100.5228355933682,2002042717,2002042707,2002042719,75.05800139904022,152.01999938488007,104.0,1471.26045332049,34.460935598186325,48.75,1104.042422076738,6,76.96199798583984,92.20199584960938,103.88599395751956,115.76124564241384,144.06211896823496,156.40124305717666,0,0,1,0
61,33.6738045634048,-86.77036096161271,2002043019,2002043009,2002043021,52.48570911585068,172.14000022411346,53.0,690.2914381069195,20.28073523636425,79.75,841.2184906463993,4,119.65429110826278,143.78428256056617,164.278265376415,186.472295310694,245.31494690434897,273.5249772564356,0,0,1,0
62,29.372735621455785,-81.49284098606722,2002050100,2002043021,2002050101,35.18697896442984,170.0,2.0,51.46034933139131,3.810283718650465,76.0,241.6091245560192,1,134.81302103557016,166.04544838930585,193.03840493873176,222.7563976858099,303.26481644385035,342.54017270602907,0,0,0,0
63,37.39756193975835,-81.5950068863134,2002050220,2002050216,2002050304,59.162561740012606,131.0,197.0,2701.510963411793,103.06984700458894,39.75,1584.6066072583492,8,71.8374382599874,84.42934847216723,94.81376648629733,105.46679455641925,132.20855818033596,146.43255720377346,0,0,1,0
64,34.26198035457957,-87.85790128738131,2002050315,2002050307,2002050319,69.78441020923624,196.03000140190125,188.0,3888.202823438989,130.86949408567935,53.25,1225.869737795504,12,126.245591192665,149.24067499737205,167.28820054980469,186.0706768284267,231.67935661323108,252.2533598557492,0,0,1,0
65,32.282884058150266,-87.83192304852639,2002050423,2002050418,2002050501,9.58644118377697,136.60000610351562,1.0,9.58644118377697,0.0,45.880001068115234,419.3865996435613,3,127.01356491973866,153.68354905229015,175.78389315885403,199.67111340293133,262.1986198796551,291.71735477851576,0,0,0,0
66,32.60417013083701,-101.10110823562582,2002050503,2002050501,2002050506,55.24200439453125,159.88999938964844,21.0,463.34855319033375,32.46187403665405,64.12999725341797,360.4472270939003,2,104.6479949951172,131.06399536132812,152.39999389648438,175.801573511943,241.44399634012404,273.8288001772098,0,0,0,1
67,32.870989344059936,-96.8795920493236,2002050510,2002050508,2002050514,9.233642790492354,138.38000011444092,1.0,9.233642790492354,0.0,64.0,570.7082616944994,5,129.14635732394856,157.0863597653548,179.37898980811067,203.00098713075883,264.9045009981132,294.1695075940332,0,0,1,1
68,30.967530002382983,-103.0171150519194,2002050522,2002050521,2002050601,61.926002502441406,146.0,19.0,475.6757753158413,33.27825460667836,80.75,199.56230401739464,0,84.0739974975586,104.38067556452556,120.3826672368604,136.89266254442063,179.80534221791834,199.6173242198145,0,1,0,0
69,45.57092677400246,-88.64830860790937,2002050605,2002050602,2002050607,19.3280029296875,93.75,98.0,718.147512788492,102.69241581781112,42.0,882.4264299573604,5,74.4219970703125,90.90661521970974,104.90200042724612,120.14199829101564,160.98396563834152,180.54196429556805,0,0,1,1
70,39.07908672218124,-91.62183733683304,2002050614,2002050606,2002050617,0.2208054136239639,104.01000213623048,1.0,0.2208054136239639,0.0,25.75,800.2019973844177,10,103.7891967226065,124.91874321660688,141.73199462890625,159.25799560546875,202.34119104633697,221.7419891357422,0,0,1,0
